Lisbon,38.72514244141787,-9.139260959625346
Madrid,40.42303707188387, -3.7032274597178345
Paris,48.907793706861064, 2.359721091030642
London,51.516168368357356, -0.1283827549081474
Edinburgh,55.957528474657124, -3.187143764788735
Brussels,50.908292170194336, 4.356456612414329
Amsterdam,52.39329152777527, 4.893433654426015
Berlin,52.845234795448285, 13.39205015581308
Warsaw,52.41044176164039, 20.98680243020157
Minsk,53.915353635842955, 27.5342805003709
Moscow,55.76436127463984, 37.62124103703346
Nur-Sultan,51.17268604340725, 71.47452847628428
Beijing,39.901652496272405, 116.40512194977678
Pyongyang,39.03948715175986, 125.76298708350578
Tokyo,36.21818074063161, 139.80052180572926
